game_id,Game Date,Home Days Since Last Game,Home Games Last 7 Days,Home Is Back-to-Back,Away Days Since Last Game,Away Games Last 7 Days,Away Is Back-to-Back,Away Team Recent 10 Win Rate,Home Team Recent 10 Win Rate,Home Team Recent 3 Months Win Rate,Away Team Recent 3 Months Win Rate,home_pts_avg_last10,home_reb_avg_last10,home_ast_avg_last10,home_plus_minus_avg_last10,away_pts_avg_last10,away_reb_avg_last10,away_ast_avg_last10,away_plus_minus_avg_last10,target,home_injury_count,away_injury_count
29900468,2000-01-08,4.0,1,False,2.0,1,False,0.4,0.6,0.375,0.4666666666666667,95.9,43.5,21.2,-1.4,97.5,40.1,26.5,6.8,0.0,0,0
29900465,2000-01-08,3.0,2,False,4.0,1,False,0.9,0.2,0.2142857142857142,0.8571428571428571,81.4,42.9,20.4,-11.6,97.3,41.8,21.1,-0.8,1.0,0,0
29900464,2000-01-08,2.0,1,False,11.0,0,False,0.6,0.8,0.7333333333333333,0.6153846153846154,107.4,43.4,22.5,6.9,97.9,42.5,27.3,4.2,0.0,0,0
29900462,2000-01-08,4.0,1,False,5.0,1,False,0.9,0.8,0.7692307692307693,0.8461538461538461,93.9,40.4,16.7,1.2,93.1,43.4,24.0,-5.2,0.0,0,0
29900471,2000-01-08,4.0,1,False,2.0,1,False,0.4,0.4,0.4,0.4375,95.1,43.0,21.4,-10.0,104.6,40.6,25.2,10.2,1.0,0,0
29900463,2000-01-08,2.0,3,False,4.0,1,False,0.8,0.7,0.75,0.8461538461538461,94.2,43.1,23.5,0.9,98.0,40.8,22.5,3.2,0.0,0,0
29900477,2000-01-09,12.0,0,False,1.0,2,True,0.4,0.8,0.8461538461538461,0.4705882352941176,103.9,46.7,24.1,-0.8,103.8,40.3,24.3,7.8,1.0,0,0
29900475,2000-01-09,3.0,2,False,2.0,3,False,0.7,0.6,0.5882352941176471,0.8125,98.7,46.2,23.3,-0.3,91.2,40.1,20.2,-7.7,0.0,0,0
29900476,2000-01-09,11.0,0,False,4.0,2,False,0.5,0.2,0.2,0.4117647058823529,91.1,42.0,23.2,-10.6,99.1,44.2,22.7,-0.5,0.0,0,0
29900474,2000-01-09,4.0,2,False,1.0,1,True,0.5,0.8,0.6470588235294118,0.5714285714285714,100.0,43.1,22.8,0.9,100.1,43.0,27.0,5.6,0.0,0,0
29900478,2000-01-10,3.0,2,False,1.0,4,True,0.6,0.6,0.7058823529411765,0.7647058823529411,95.8,42.0,20.6,-1.6,93.0,41.4,20.1,-4.4,0.0,0,0
29900479,2000-01-10,3.0,3,False,2.0,2,False,0.7,0.4,0.4375,0.7857142857142857,101.9,46.3,19.9,-4.8,96.6,41.2,22.3,3.7,0.0,0,0
29900484,2000-01-10,2.0,1,False,6.0,1,False,0.7,0.7,0.7857142857142857,0.7777777777777778,98.6,42.7,23.5,8.8,100.1,41.9,21.4,-3.2,1.0,0,0
29900480,2000-01-10,4.0,2,False,5.0,1,False,0.9,0.5,0.5789473684210527,0.8125,94.6,43.0,23.9,-2.5,99.0,42.9,21.3,-6.0,1.0,0,0
29900481,2000-01-10,2.0,2,False,2.0,4,False,0.7,0.6,0.6875,0.7222222222222222,104.0,40.6,23.9,-1.8,97.8,40.3,22.2,-6.4,1.0,0,0
29900483,2000-01-10,3.0,2,False,7.0,1,False,0.7,1.0,0.8947368421052632,0.7692307692307693,103.7,49.8,23.0,10.3,97.6,44.1,23.6,1.9,1.0,0,0
29900482,2000-01-10,2.0,2,False,2.0,2,False,0.3,0.7,0.8125,0.4375,97.5,47.2,23.1,7.0,98.2,40.4,26.5,7.4,1.0,0,0
29900488,2000-01-11,2.0,1,False,1.0,2,True,0.7,0.2,0.1875,0.7894736842105263,91.5,42.2,24.0,-11.0,100.2,41.3,21.5,-3.8,0.0,0,0
29900487,2000-01-11,5.0,2,False,13.0,0,False,0.5,0.6,0.625,0.4,101.6,42.5,28.5,6.3,93.6,43.3,23.8,0.9,0.0,0,0
29900485,2000-01-11,3.0,2,False,4.0,1,False,0.9,0.7,0.7142857142857143,0.9375,92.4,40.3,16.4,-0.2,83.6,41.6,20.4,-9.0,1.0,0,0
29900490,2000-01-11,3.0,1,False,3.0,1,False,0.8,0.4,0.625,0.6923076923076923,97.9,45.1,22.6,-2.3,97.3,44.8,25.1,0.6,1.0,0,0
29900486,2000-01-11,4.0,1,False,4.0,1,False,0.5,0.4,0.375,0.4666666666666667,96.1,42.6,23.2,0.9,98.6,45.6,23.5,0.1,1.0,0,0
29900489,2000-01-11,2.0,1,False,5.0,1,False,0.8,0.8,0.8571428571428571,0.75,105.2,45.6,25.2,1.1,95.6,44.5,21.0,-1.9,1.0,0,0
29900493,2000-01-12,3.0,2,False,4.0,1,False,0.5,0.5,0.5555555555555556,0.5,98.7,44.2,23.5,-2.1,101.0,46.0,18.9,-6.0,1.0,0,0
29900494,2000-01-12,4.0,2,False,5.0,1,False,0.4,0.7,0.6875,0.4736842105263157,106.3,43.0,21.8,5.6,91.9,39.3,16.4,-0.2,1.0,0,0
29900499,2000-01-12,13.0,0,False,1.0,2,True,0.8,0.2,0.3125,0.7142857142857143,95.7,41.1,20.5,-3.6,94.2,42.8,25.0,-2.3,0.0,0,0
29900495,2000-01-12,8.0,0,False,4.0,2,False,0.7,1.0,0.8666666666666667,0.7222222222222222,106.2,40.3,24.8,6.0,98.3,43.6,23.2,2.5,1.0,0,0
29900498,2000-01-12,2.0,2,False,4.0,1,False,0.8,0.7,0.8,0.7857142857142857,99.1,43.0,24.1,10.9,96.3,43.5,24.8,-1.4,1.0,0,0
29900496,2000-01-12,2.0,2,False,4.0,1,False,0.2,0.7,0.7058823529411765,0.2,107.6,41.1,26.5,3.9,107.0,51.1,23.5,12.9,0.0,0,0
29900491,2000-01-12,2.0,2,False,2.0,2,False,0.9,0.6,0.6666666666666666,0.8235294117647058,96.7,42.4,21.1,-1.9,100.4,41.4,21.1,-6.6,1.0,0,0
29900497,2000-01-12,4.0,2,False,3.0,2,False,0.4,0.7,0.7368421052631579,0.3888888888888889,98.5,42.6,23.7,-1.8,98.7,45.1,22.4,-1.9,0.0,0,0
29900502,2000-01-13,8.0,0,False,2.0,1,False,0.4,0.8,0.8125,0.375,99.4,39.4,27.5,8.2,96.3,43.3,25.0,3.6,1.0,0,0
29900504,2000-01-13,2.0,2,False,6.0,1,False,0.6,0.8,0.8666666666666667,0.4736842105263157,106.3,44.0,25.1,4.0,98.4,47.0,22.6,7.9,1.0,0,0
29900503,2000-01-13,2.0,2,False,2.0,2,False,0.8,0.2,0.1764705882352941,0.7647058823529411,90.6,42.1,23.3,-12.9,97.2,45.4,21.6,-3.0,0.0,0,0
29900501,2000-01-13,2.0,2,False,5.0,1,False,0.9,0.5,0.5882352941176471,0.8666666666666667,102.2,40.4,28.8,4.7,97.2,42.7,20.9,-0.3,1.0,0,0
29900500,2000-01-13,6.0,1,False,1.0,2,True,0.9,0.9,0.5263157894736842,0.8333333333333334,96.8,42.3,22.3,1.9,100.8,42.6,20.9,-7.2,1.0,0,0
29900510,2000-01-14,6.0,1,False,6.0,1,False,0.9,0.3,0.2666666666666666,0.875,84.0,41.0,19.4,-8.8,98.6,44.8,19.2,-5.6,0.0,0,0
29900512,2000-01-14,7.0,1,False,8.0,0,False,0.3,0.7,0.7894736842105263,0.2631578947368421,92.9,42.2,24.5,-2.7,99.8,42.3,24.2,13.8,0.0,0,0
29900509,2000-01-14,2.0,1,False,2.0,2,False,0.1,1.0,0.875,0.1875,108.4,40.1,25.7,8.9,107.9,50.9,24.4,13.2,1.0,0,0
29900513,2000-01-14,3.0,2,False,1.0,2,True,0.6,0.5,0.6470588235294118,0.5,98.7,44.7,23.0,0.1,99.6,46.3,22.6,7.4,1.0,0,0
29900507,2000-01-14,2.0,2,False,8.0,0,False,0.6,0.5,0.5789473684210527,0.5555555555555556,97.9,42.8,23.3,-4.4,107.5,41.1,26.7,4.3,1.0,0,0
29900508,2000-01-14,2.0,2,False,2.0,2,False,0.7,0.7,0.7058823529411765,0.7368421052631579,107.3,41.9,21.4,4.9,98.8,44.1,23.4,-0.4,1.0,0,0
29900511,2000-01-14,2.0,2,False,1.0,2,True,0.4,0.7,0.7,0.4117647058823529,98.1,42.5,24.1,-3.7,95.4,42.4,24.5,2.3,0.0,0,0
29900505,2000-01-14,5.0,1,False,2.0,2,False,0.6,0.7,0.6111111111111112,0.5263157894736842,103.5,42.8,22.8,-0.5,100.2,44.7,18.9,-7.0,1.0,0,0
29900514,2000-01-14,2.0,1,False,2.0,2,False,0.8,0.2,0.2941176470588235,0.8,95.6,41.5,19.9,-4.1,94.1,42.0,24.3,-2.8,0.0,0,0
29900518,2000-01-15,5.0,1,False,6.0,2,False,0.4,0.4,0.4117647058823529,0.5,99.7,46.4,19.9,-7.0,108.2,41.2,24.9,8.8,0.0,0,0
29900522,2000-01-15,2.0,2,False,1.0,3,True,0.2,0.5,0.6111111111111112,0.2352941176470588,101.9,40.6,28.7,4.5,108.2,50.6,24.7,11.4,0.0,0,0
29900519,2000-01-15,8.0,0,False,16.0,0,False,0.5,0.5,0.5882352941176471,0.5294117647058824,98.7,43.6,20.0,-4.2,104.6,42.7,23.2,1.0,0.0,0,0
29900521,2000-01-15,3.0,3,False,4.0,1,False,0.5,0.7,0.6666666666666666,0.5,109.1,40.4,26.9,3.5,100.4,41.6,24.7,-3.8,1.0,0,0
29900516,2000-01-15,2.0,1,False,2.0,2,False,0.9,0.9,0.55,0.875,98.2,43.0,22.4,1.6,95.9,43.0,19.9,-3.8,0.0,0,0
29900525,2000-01-15,2.0,3,False,8.0,0,False,0.7,0.2,0.1666666666666666,0.5882352941176471,90.7,42.4,22.4,-13.3,106.2,44.7,24.2,3.1,0.0,0,0
29900520,2000-01-15,1.0,2,True,2.0,2,False,0.8,0.3,0.25,0.7222222222222222,83.7,41.7,20.4,-7.4,98.0,45.7,21.6,-2.8,0.0,0,0
29900524,2000-01-15,2.0,1,False,2.0,3,False,0.9,0.9,0.8235294117647058,0.8421052631578947,98.1,40.0,27.3,8.2,101.0,41.0,19.9,-8.1,1.0,0,0
29900515,2000-01-15,4.0,2,False,5.0,2,False,0.8,0.7,0.7333333333333333,0.7368421052631579,94.4,39.7,17.8,0.4,95.6,39.5,22.4,-11.1,1.0,0,0
29900517,2000-01-15,4.0,1,False,10.0,0,False,0.5,0.5,0.4117647058823529,0.5882352941176471,99.7,44.3,23.2,0.5,105.7,41.4,20.9,5.7,0.0,0,0
29900523,2000-01-15,7.0,1,False,1.0,1,True,0.3,0.3,0.4,0.25,100.7,41.3,22.4,-2.7,101.4,41.7,24.6,15.0,1.0,0,0
29900528,2000-01-16,2.0,2,False,2.0,3,False,0.4,0.2,0.2777777777777778,0.3888888888888889,95.0,41.5,19.2,-2.0,97.2,43.1,24.8,2.6,0.0,0,0
29900527,2000-01-16,3.0,3,False,2.0,2,False,0.8,0.8,0.875,0.75,108.5,44.9,24.3,5.2,93.3,42.4,24.4,-0.8,1.0,0,0
29900526,2000-01-16,2.0,1,False,6.0,1,False,0.7,0.7,0.75,0.7857142857142857,92.2,40.7,24.3,-4.8,97.7,42.7,24.9,-4.0,1.0,0,0
29900535,2000-01-17,2.0,1,False,2.0,3,False,0.7,0.3,0.4375,0.6842105263157895,103.1,42.1,23.8,-1.6,99.4,45.2,22.5,-1.5,0.0,0,0
29900533,2000-01-17,2.0,1,False,3.0,1,False,0.6,0.4,0.5555555555555556,0.5789473684210527,100.4,43.1,20.4,-2.8,111.6,39.9,26.6,4.8,0.0,0,0
29900530,2000-01-17,3.0,1,False,7.0,1,False,0.6,0.7,0.631578947368421,0.7333333333333333,102.5,42.3,22.6,1.2,99.1,44.4,21.7,4.2,1.0,0,0
29900534,2000-01-17,2.0,3,False,2.0,1,False,0.4,0.5,0.5789473684210527,0.4736842105263157,100.1,39.0,28.7,2.5,107.7,41.6,25.2,8.4,1.0,0,0
29900529,2000-01-17,2.0,2,False,2.0,1,False,0.4,0.8,0.75,0.5555555555555556,92.3,38.3,17.6,1.3,108.6,40.7,21.6,7.6,1.0,0,0
29900532,2000-01-17,19.0,0,False,2.0,2,False,0.6,0.8,0.8666666666666667,0.5294117647058824,92.9,39.6,20.8,-11.9,100.3,42.5,24.0,-6.2,1.0,0,0
29900537,2000-01-17,7.0,1,False,5.0,1,False,0.4,1.0,0.9,0.3684210526315789,108.7,51.5,25.4,12.1,97.6,44.5,23.5,1.4,0.0,0,0
29900536,2000-01-17,9.0,0,False,3.0,2,False,0.6,0.5,0.4375,0.5238095238095238,98.8,39.7,19.6,-12.4,99.0,46.4,22.7,7.1,0.0,0,0
29900538,2000-01-17,2.0,3,False,3.0,2,False,0.7,0.2,0.1578947368421052,0.55,91.5,43.5,22.9,-12.8,98.0,46.9,19.4,-7.4,1.0,0,0
29900531,2000-01-17,2.0,2,False,2.0,2,False,0.8,0.4,0.3888888888888889,0.8235294117647058,100.1,44.3,22.8,-1.1,95.8,42.8,20.5,-3.2,0.0,0,0
29900540,2000-01-18,10.0,0,False,3.0,2,False,0.3,0.5,0.3529411764705882,0.2857142857142857,101.0,45.9,22.6,-2.1,100.8,41.9,23.9,12.2,1.0,0,0
29900541,2000-01-18,2.0,3,False,3.0,3,False,0.9,0.8,0.8823529411764706,0.85,108.0,44.8,23.4,5.6,97.8,40.0,19.0,-13.3,1.0,0,0
29900542,2000-01-18,4.0,2,False,2.0,3,False,0.8,0.6,0.6666666666666666,0.7647058823529411,97.2,44.0,23.4,2.1,94.0,43.6,23.6,-1.6,1.0,0,0
29900539,2000-01-18,10.0,0,False,7.0,1,False,0.9,0.6,0.7058823529411765,0.9411764705882352,98.1,44.1,25.3,4.5,85.1,41.0,21.3,-5.0,0.0,0,0
29900549,2000-01-19,9.0,0,False,1.0,3,True,0.4,0.7,0.8235294117647058,0.3181818181818182,99.6,45.5,23.2,8.3,100.3,41.6,23.6,11.6,0.0,0,0
29900550,2000-01-19,4.0,2,False,10.0,0,False,0.4,0.9,0.8333333333333334,0.5333333333333333,99.1,41.7,27.5,12.1,99.5,39.0,28.5,2.4,0.0,0,0
29900551,2000-01-19,2.0,1,False,1.0,4,True,0.8,0.9,0.8571428571428571,0.7777777777777778,106.0,50.2,24.7,11.8,92.4,43.3,22.2,-3.7,1.0,0,0
29900546,2000-01-19,2.0,2,False,8.0,0,False,0.6,0.4,0.3684210526315789,0.75,100.8,42.9,22.2,-1.3,103.1,42.0,23.0,-2.7,0.0,0,0
29900545,2000-01-19,2.0,2,False,5.0,1,False,0.8,0.8,0.65,0.8235294117647058,103.2,42.8,23.3,2.2,99.7,41.8,20.6,-5.2,1.0,0,0
29900547,2000-01-19,5.0,2,False,2.0,2,False,0.6,1.0,0.8823529411764706,0.55,107.4,42.0,24.7,7.1,111.8,40.2,25.3,5.8,1.0,0,0
29900544,2000-01-19,2.0,2,False,2.0,1,False,0.7,0.8,0.7647058823529411,0.75,93.7,38.9,17.9,2.3,98.8,43.1,21.7,3.2,1.0,0,0
29900548,2000-01-19,4.0,2,False,4.0,1,False,0.9,0.2,0.2352941176470588,0.75,85.2,40.4,20.4,-3.1,94.8,40.7,21.1,-8.0,0.0,0,0
29900543,2000-01-19,7.0,1,False,2.0,2,False,0.7,0.7,0.6842105263157895,0.5555555555555556,96.2,42.6,20.6,-1.5,99.7,42.1,23.8,-8.4,1.0,0,0
29900557,2000-01-20,4.0,2,False,10.0,0,False,0.4,0.2,0.2631578947368421,0.4705882352941176,94.0,40.5,19.5,-2.4,100.7,42.3,27.5,12.0,0.0,0,0
29900554,2000-01-20,5.0,1,False,3.0,1,False,0.4,0.7,0.6842105263157895,0.35,111.1,40.3,25.2,3.5,98.2,43.7,23.6,4.5,0.0,0,0
29900556,2000-01-20,2.0,3,False,3.0,2,False,0.7,0.8,0.8888888888888888,0.5714285714285714,107.0,45.2,23.2,4.9,98.8,45.3,19.4,-7.7,1.0,0,0
29900553,2000-01-20,3.0,1,False,5.0,1,False,0.5,0.9,0.875,0.5,93.6,41.9,20.9,-7.4,104.7,43.2,23.8,3.4,1.0,0,0
